Operating system support;Windows;macOS;Linux;BSD;UNIX;AmigaOS;z/OS;OpenVMS;iOS;Android
4th Dimension (Software);yes;yes;no;no;no;no;no;no;no;no
ADABAS;yes;no;yes;no;yes;no;yes;no;no;no
Adaptive Server Enterprise;yes;no;yes;yes;yes;no;no;no;no;no
Advantage Database Server;yes;no;yes;no;no;no;no;no;no;no
Altibase;yes;no;yes;no;yes;no;no;no;no;no
Apache Derby;yes;yes;yes;yes;yes;no;yes;no;dunno;no
ClustrixDB;no;no;yes;no;yes;no;no;no;no;no
CockroachDB;yes;yes;yes;no;no;no;no;no;no;no
CUBRID;yes;partial;yes;no;no;no;no;no;no;no
IBM Db2;yes;yes;yes;no;yes;no;yes;no;yes;no
Empress database (Empress Embedded Database);yes;yes;yes;yes;yes;no;no;no;no;yes
EXASOL (EXASolution);no;no;yes;no;no;no;no;no;no;no
FileMaker;yes;yes;yes;no;no;no;no;no;Yes;No
Firebird (database server);yes;yes;yes;yes;yes;no;partial;Maybe;no;yes
HSQLDB;yes;yes;yes;yes;yes;no;yes;no;dunno;dunno
H2 (DBMS);yes;yes;yes;yes;yes;no;yes;no;dunno;yes
Informix Dynamic Server;yes;yes;yes;yes;yes;no;no;no;no;no
Ingres (database);yes;yes;yes;yes;yes;no;partial;yes;no;no
InterBase;yes;yes;yes;no;yes (Solaris);no;no;no;yes;yes
Linter SQL RDBMS;yes;yes;yes;yes;yes;no;Under Linux on IBM Z;yes;yes;yes
LucidDB;yes;yes;yes;no;no;no;no;no;no;no
MariaDB;yes;yes;yes;no;no;no;no;no;dunno;yes
MaxDB;yes;no;yes;no;yes;no;partial;Maybe;no;no
Microsoft Access (JET);yes;no;no;no;no;no;no;no;no;no
Microsoft Visual Foxpro;yes;no;no;no;no;no;no;no;no;no
Microsoft SQL Server;yes;no;yes;no;no;no;no;no;no;no
Microsoft SQL Server Compact (Embedded Database);yes;no;no;no;no;no;no;no;no;no
Mimer SQL;yes;yes;yes;no;yes;no;no;yes;no;yes
MonetDB;yes;yes;yes;yes;yes;no;no;no;no;no
MySQL;yes;yes;yes;yes;yes;yes;yes;no;dunno;yes
Omnis Studio;yes;yes;yes;no;no;no;no;no;no;no
OpenEdge Database (OpenEdge);yes;no;yes;no;yes;no;no;no;no;no
Virtuoso Universal Server (OpenLink Virtuoso);yes;yes;yes;yes;yes;no;no;no;no;no
Oracle Database (Oracle);yes;yes;yes;no;yes;no;yes;yes;no;no
Oracle Rdb;no;no;no;no;no;no;no;yes;no;no
Actian Zen (PSQL);yes;yes (OEM only);yes;no;no;no;no;no;yes;yes
Polyhedra DBMS (Polyhedra);yes;no;yes;no;yes;no;no;no;no;no
PostgreSQL;yes;yes;yes;yes;yes;yes (MorphOS);Under Linux on IBM Z;no;no;yes
R:Base;yes;no;no;no;no;no;no;no;no;no
Raima Database Manager;yes;yes;yes;yes;yes;no;no;no;yes;yes
RDM Server;yes;yes;yes;yes;yes;no;no;no;no;no
SAP HANA;yes;no;yes;no;no;no;no;no;no;no
solidDB;yes;no;yes;no;yes;no;Under Linux on IBM Z;no;no;no
SQL Anywhere;yes;yes;yes;no;yes;no;no;no;no;yes
SQLBase;yes;no;yes;no;no;no;no;no;no;no
SQLite;yes;yes;yes;yes;yes;yes;partial;Maybe;no;Yes;Yes
SQream DB;no;no;yes;no;no;no;no;no;no;no
Superbase database (Superbase);yes;no;no;no;no;yes;no;no;no;no
Superbase NG;yes;no;yes;no;no;no;no;no;no;no
Teradata;yes;no;yes;no;yes;no;no;no;no;no
UniData;yes;no;yes;no;yes;no;no;no;no;no
UniVerse;yes;no;yes;no;yes;no;no;no;no;no
YugabyteDB;yes;yes;yes;no;no;no;no;no;no;no