ACID;Referential integrity;Transactions;Fine-grained locking;Multiversion concurrency control;Unicode;Interface;Type inference
4th Dimension;yes;yes;yes;dunno;dunno;yes;GUI & SQL;Yes
ADABAS;yes;no;yes;dunno;dunno;yes;proprietary direct call & SQL (via 3rd party);Yes
Adaptive Server Enterprise;yes;yes;yes;Yes (Row-level locking);Yes;yes;API & GUI & SQL;Yes
Advantage Database Server;yes;yes;yes;yes (Row-level locking);dunno;yes^[[#feat 4|4]];API & SQL;Yes
Altibase;yes;yes;yes;yes (Row-level locking);dunno;yes;API & GUI & SQL;Yes
Apache Derby;yes;yes;yes;yes (Row-level locking) [https://db.apache.org/derby/docs/10.14/devguide/cdevconcepts23810.html Derby Developer's Guide (10.14)>Lock granularity];dunno;yes;SQL;Yes
ClustrixDB;yes;yes;yes;yes;yes;yes;SQL;Yes
CockroachDB;yes;yes;yes;yes (Row-level locking);yes;yes;SQL;No
CUBRID;yes;yes;yes;yes (Row-level locking);yes;yes;GUI & SQL;Yes
IBM Db2;yes;yes;yes;yes (Row-level locking)[http://www-01.ibm.com/support/knowledgecenter/SSEPGG_9.7.0/com.ibm.db2.luw.admin.perf.doc/doc/c0004121.html DB2 for Linux UNIX and Windows 9.7.0>Fundamentos de DB2>Performance tuning>Factors affecting performance>Application design>Concurrency issues>Isolation levels];dunno;yes;GUI & SQL;Yes
Empress Embedded Database;yes;yes;yes;dunno;dunno;yes;API & SQL;Yes
EXASolution;yes;yes;yes;dunno;dunno;yes;API & GUI & SQL;Yes
Firebird;yes;yes;yes;dunno;yes;yes;API & SQL;Yes
HSQLDB;yes;yes;yes;dunno;yes;yes;SQL;Yes
H2;yes;yes;yes;dunno;yes[http://www.h2database.com/html/advanced.html#mvcc|title = Advanced];yes;SQL;Yes
Informix Dynamic Server;yes;yes;yes;yes (Row-level locking);yes;yes;SQL, REST, MQ, and JSON;Yes
Ingres;yes;yes;yes;yes (Row-level locking);yes;yes;SQL & QUEL;Yes
InterBase;yes;yes;yes;dunno;dunno;yes;SQL;Yes
Linter SQL RDBMS;yes;yes;yes (Except for DDL);yes (Row-level locking);dunno;yes;API & GUI & SQL;Yes
LucidDB;yes;no;no;dunno;dunno;yes;SQL;Yes
MariaDB;yes[http://dev.mysql.com/doc/refman/5.5/en/innodb-storage-engine.html MySQL - The InnoDB Storage Engine][http://wiki.oracle.com/page/InnoDB InnoDB - Oracle Wiki];yes;yes[https://wiki.postgresql.org/wiki/Transactional_DDL_in_PostgreSQL:_A_Competitive_Analysis Transactional DDL in PostgreSQL: A Competitive Analysis][https://jira.mariadb.org/browse/MDEV-4259 Transactional DDL in MariaDB] except for DDL;yes (Row-level locking);yes;yes;SQL;Yes
MaxDB;yes;yes;yes;dunno;dunno;yes;SQL;Yes
Microsoft Access (JET);yes;yes;yes;dunno;dunno;yes;GUI & SQL;Yes
Microsoft Visual FoxPro;Yes;Yes;Yes;Yes (Row-level locking SMB2);Yes;No;GUI & SQL;Yes
Microsoft SQL Server;yes;yes;yes;yes (Row-level locking)[https://technet.microsoft.com/en-us/library/jj856598.aspx SQL Server Transaction Locking and Row Versioning Guide];yes;yes;GUI & SQL;Yes
Microsoft SQL Server Compact (Embedded Database);yes;yes;yes;dunno;dunno;yes;GUI & SQL;Yes
Mimer SQL;yes;yes;yes;yes (Optimistic locking);yes;yes;API & GUI & SQL;Yes
MonetDB;yes;yes;yes;dunno;dunno;yes;API & SQL & MAL;Yes
MySQL;yes[http://dev.mysql.com/doc/refman/5.5/en/innodb-storage-engine.html MySQL - The InnoDB Storage Engine][http://wiki.oracle.com/page/InnoDB InnoDB - Oracle Wiki];yes[http://dev.mysql.com/doc/refman/5.6/en/create-table.html MySQL 5.6 Reference Manual];yes (Row-level locking)[https://dev.mysql.com/doc/refman/5.6/en/internal-locking.html MySQL :: MySQL 5.6 Reference Manual :: 8.10.1 Internal Locking Methods];yes;yes;GUI^[[#feat 5|5]] & SQL;Yes
OpenEdge;yes;yes[http://developer.polyhedra.com/history/polyhedra-8-7 Polyhedra 8.7 new headline feature: locking];yes;yes (Row-level locking);dunno;yes;GUI & SQL;Yes
OpenLink Virtuoso;yes;yes;yes;dunno;dunno;yes;API & GUI & SQL;Yes
Oracle;yes;yes;yes except for DDL[https://wiki.postgresql.org/wiki/Transactional_DDL_in_PostgreSQL] [http://www.dba-oracle.com/t_locks_row_level_locking_update.htm Oracle Row Lock and Row Level Locking];yes;yes;API & GUI & SQL;Yes
Oracle Rdb;yes;yes;yes;dunno;dunno;yes;SQL;Yes
Actian Zen (PSQL);yes;yes;yes;dunno;dunno;yes;API & GUI & SQL;Yes
Polyhedra DBMS;yes;yes;yes;yes (optimistic and pessimistic cell-level locking)[cite web | url=http://developer.polyhedra.com/history/polyhedra-8-7 | title=Polyhedra 8.7 new headline feature: locking ];dunno;yes;API & SQL;Yes
PostgreSQL;yes;yes;yes;yes (Row-level locking)[https://www.postgresql.org/docs/current/explicit-locking.html#LOCKING_ROWS PostgreSQL: Documentation: Explicit Locking : Row-Level Locks];okay (performance issues)[https://ottertune.com/blog/the-part-of-postgresql-we-hate-the-most/ The Part of PostgreSQL We Hate the Most];yes;API & GUI & SQL;No[https://www.postgresql.org/message