;Windows;Linux;OS_X;BSD;Solaris;eComStation;OpenVMS;AIX;IBM_i;z/OS;HP-UX
AOLserver;1;1;1;1;1;0;0;0;0;0;0
Apache_HTTP_Server;1;1;1;1;1;1;1;1;1;1;1
Apache_Tomcat;1;1;1;1;1;0;1;1;1;1;1
Boa;0;1;0;1;0;0;0;0;0;0;0
Caucho_Resin_Server;1;1;1;1;1;1;1;1;1;1;1
Caudium;0;1;1;1;1;0;0;1;0;0;0
Cherokee_HTTP_Server;0;1;1;1;1;0;0;0;0;0;0
HFS;1;0;0;0;0;0;0;0;0;0;0
Hiawatha_HTTP_Server;1;1;1;1;1;0;0;0;0;0;0
IBM_HTTP_Server;1;1;0;0;1;0;0;1;1;1;1
Internet_Information_Services;1;0;0;0;0;0;0;0;0;0;0
Jexus;0;1;0;1;0;0;0;0;0;0;0
lighttpd;1;1;1;1;1;0;0;1;0;0;1
LiteSpeed_Web_Server;0;1;1;1;1;0;0;0;0;0;0
Mongoose;1;1;1;1;1;0;1;1;1;0;1
NaviServer;1;1;0;0;1;0;0;1;0;0;0
nginx;1;1;1;1;1;0;0;1;0;0;1
Oracle_HTTP_Server;1;1;0;0;1;0;0;1;0;0;0
Oracle_iPlanet_Web_Server;1;1;0;0;1;0;0;1;0;0;1
Saetta_Web_Server;0;1;0;1;0;0;0;0;0;0;0
thttpd;1;1;1;1;1;0;0;0;0;0;0
TUX_web_server;0;1;0;0;0;0;0;0;0;0;0
Wakanda_Server;1;1;1;1;0;0;0;0;0;0;0
Xitami;1;1;1;1;1;1;1;1;0;0;1
Yaws;1;1;1;1;1;0;0;1;0;0;0