;CGI;FCGI;SCGI;WSGI;Java_Servlets;SSI;ISAPI;SSJS;Administration_console;IPv6
AOLserver;1;0;0;0;0;1;0;0;0;0
Apache_HTTP_Server;1;1;1;1;0;1;1;0;1;1
Apache_Tomcat;1;0;0;0;1;1;0;0;1;1
Boa;1;0;0;0;0;0;0;0;0;1
Caucho_Resin_Server;1;1;0;0;1;1;0;0;1;1
Caudium;1;1;0;0;1;1;0;0;1;1
Cherokee_HTTP_Server;1;1;1;1;0;1;0;0;1;1
HFS;0;0;0;0;0;0;0;0;0;0
Hiawatha_HTTP_Server;1;1;0;0;0;1;0;0;1;1
IBM_HTTP_Server;1;1;0;0;0;1;0;0;1;1
Internet_Information_Services;1;1;1;0;0;1;1;1;1;1
Jexus;0;1;0;0;0;0;0;1;1;0
lighttpd;1;1;1;0;0;1;0;0;0;1
LiteSpeed_Web_Server;1;1;0;0;0;1;0;0;1;1
Mongoose;1;0;0;0;0;1;0;0;1;1
NaviServer;1;0;0;0;0;0;0;0;1;0
nginx;0;1;1;1;0;1;0;0;1;1
Oracle_HTTP_Server;1;1;0;0;0;1;0;0;1;1
Oracle_iPlanet_Web_Server;1;1;0;0;1;1;0;1;1;1
Saetta_Web_Server;1;0;0;0;0;0;0;0;0;1
thttpd;1;0;0;0;0;0;0;0;0;1
TUX_web_server;1;0;0;0;0;0;0;0;0;0
Wakanda_Server;0;0;0;0;0;0;0;1;1;1
Xitami;1;0;0;0;0;1;0;0;0;0
Yaws;1;1;0;0;0;1;0;0;0;1